Related Ids	Улица	Дом	Корпус	Строение	Год постройки	Этажность	Тип дома	Назначение	Высота этажа	Общая площадь	Лифт
1391884, 1173821, 1468286, 46622, 42490, 1222488	переулок Кривоарбатский	13		2							
65197, 29036	шоссе Варшавское	28а									
56294, 48321	улица Пятницкая	31		1							
18311, 56650	переулок Большой Тишинский	38		1							
19221, 7158, 21685	переулок Лялин	3		2							
1241236, 38398, 1242236, 1466, 1226733	переулок Большой Саввинский	3									
70771, 28091	улица Салтыковская	51									
1068321, 5921	улица Можайский Вал	вл8									
66739, 53128, 44335, 5932	набережная Пречистенская	5									
20031, 2885	улица Большая Пионерская	1									
23687, 26047, 7424	переулок Подколокольный	13		1							
16884, 44147, 31312, 6991, 41632, 35621, 49387, 20802, 2721	проезд Электролитный	3		1							
77035, 25070, 13262	набережная Пресненская	10бло	в								
1065509, 22988, 3814	улица Знаменка	9		3							
59640, 41748, 27693, 2969, 11281, 48978, 51131, 1997	набережная Дербеневская	11б									
51125, 72080, 16163	проезд Шмитовский	16		2							
23820, 57329, 47188	улица 3-я Песчаная	2		2							
668	набережная Серебряническая	29		3							
7049	проезд 1-й Красногвардейский	вл17-18									
7334	переулок Проточный	2/1									
7676	улица Херсонская	38									
7689	улица Шарикоподшипниковская	1									
7925	улица Киевская	5									
8216	улица 1-я Аэропортовская	6									
8350	площадь Победы	2	2								
8672	проезд Береговой	5	1								
9999	улица Верейская	29		151							
10675	улица Мытная	40									
10911	улица Пречистенка	13									
11902	улица 4-я Тверская-Ямская	22									
12376	проспект Мичуринский	1									
15147	переулок Сеченовский	2									
16218	улица Сущевский Вал	18		1							
19407	проспект Мичуринский	15а									
21253	улица 1-я Бородинская	2									
23117	улица Летниковская	4		1							
29253	шоссе Волоколамское	71	1								
29310	улица 2-я Энтузиастов	5	21								
29424	улица Крылатская	вл19-21									
31867	проспект Балаклавский	16									
32221	улица Двинцев	12	1а								
33275	улица 3-я Песчаная	2а									
35438	улица Кожевническая	14		3							
36207	площадь Семеновская	7	17а								
36634	улица Киевская	5а		1							
37012	проспект Вернадского	86б									
38930	переулок Карманицкий	10									
39855	улица Большая Садовая	14		5							
41301	переулок Калошин	6		1							
44815	улица Андреевка	вл42г									
45154	улица Ельнинская	15	3								
46768	проспект Мира	41		2							
49201	набережная Космодамианская	52		13							
49324	улица Крылатская	17	4								
50704	улица Симоновский Вал	26а									
52580	проспект Вернадского	93	1								
54616	проспект Буденного	26	2								
55792	набережная Озерковская	22/24		3							
55793	улица Захарьинские Дворики	3									
55880	улица Бутырская	77		2							
55910	улица Сергея Макеева	13		7							
56011	проспект Кутузовский	9	1								
56796	переулок Яковоапостольский	вл14		1							
57599	бульвар Страстной	8а									
58380	переулок 1-й Зачатьевский	3		1							
59856	шоссе Симферопольское	12а									
60049	шоссе Симферопольское	14а									
60504	проспект Ленинградский	76	1								
61375	бульвар Генерала Карбышева	16									
61869	шоссе Рублевское	28									
62633	шоссе Ленинградское	16а									
63610	шоссе Калужское	6	1								
64743	набережная Космодамианская	52		7							
64836	улица Нижняя Красносельская	39		1							
64884	улица 1-я Тверская-Ямская	5									
66432	улица Госпитальная	10		1							
67760	улица Наметкина	18	4								
67989	проспект Мира	26		6							
68091	улица Тимура Фрунзе	вл15/1									
68450	проезд Лазоревый	1									
68849	улица Каланчевская	49									
70219	проезд Ставропольский	вл9									
70291	набережная Рубцовская	4	1								
72405	набережная Овчинниковская	8а									
73401	бульвар Новинский	7									
73897	проспект Ленинградский	вл36	10								
75127	улица Летниковская	2		3							
76373	набережная Садовническая	77									
76693	набережная Пресненская	10бло	а								
77898	переулок 1-й Казачий	4									
79339	улица Щукинская	6	1								
79358	улица Брянская	5	2								
81770	улица Верейская	с		2							
82248	площадь Смоленская	3									
82376	шоссе Головинское	10б									
1056423	улица Дорожная	60		7							
1056602	улица Краснодарская	66									
1056971	улица Солдатская	6									
1057114	проспект Олимпийский	7									
1058391	улица Ходынская	2									
1059256	проспект Кутузовский	7/4	1								
1059851	улица Генерала Белобородова	7/2									
1061795	улица Одесская	27/14									
1062845	улица Моховая	7		2							
1063639	улица Мытная	7		2							
1064896	улица Шереметьевская	8а									
1064960	улица Новый Арбат	10									
1066181	улица Сосновая	1б									
1066605	улица Малая Бронная	15б									
1066659	проезд 12-й Марьиной рощи	8									
1067401	проспект Ленинградский	15		19							
1067483	улица Остоженка	17									
1067582	улица Большая Якиманка	28/30									
1067759	проспект Ленинградский	70									
